HostID,ID,Neighbourhood,Latitude,Longitude,PropertyType,RoomType,Accommodates,BedType,Price,GuestsIncluded,ExtraPeople,MinimumNights,ResponseTime,ResponseRate,NumberofReviews,ReviewRating,ReviewAccuracy,ReviewCleanliness,ReviewCheckin,ReviewCommunication,ReviewLocation,ReviewValue,Bathrooms,Bedrooms,Beds,HostSince,PropertyAge,PriceperPerson,BedsperPerson,BedroomsperPerson,BathroomsperPerson,NumberofRooms,RoomsperPerson,PolyMinPrice,PolyMaxPrice,PolyMeanPrice,DistancetoDam(km)
243018,4445005,1,52.37926667,4.880932261,0,0,2,0,100,1,0,2,1,1.0,7,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,1.0,1.0,2010-09-23,4627,50.0,0.5,0.5,0.5,2.0,1.0,6847.0,8216.0,7531.5,1.0294054552907386
246338,193088,5,52.38880471,4.884462142,0,0,5,0,60,1,20,1,1,1.0,66,89.0,9.0,9.0,10.0,10.0,9.0,9.0,1.0,2.0,4.0,2010-09-27,4623,12.0,0.8,0.4,0.2,3.0,0.6,8216.0,10270.0,9243.0,1.8252397180366977
246493,53692,3,52.35348316,4.900490172,0,1,4,0,72,2,20,2,1,0.98,84,90.0,9.0,9.0,9.0,9.0,9.0,9.0,1.0,1.0,4.0,2010-09-27,4623,18.0,1.0,0.25,0.25,2.0,0.5,8216.0,10270.0,9243.0,2.2547178134023373
246493,53067,3,52.35339267,4.900637643,0,0,2,0,79,2,15,2,1,0.98,99,93.0,9.0,9.0,9.0,9.0,10.0,9.0,1.0,1.0,2.0,2010-09-27,4623,39.5,1.0,0.5,0.5,2.0,1.0,8216.0,10270.0,9243.0,2.2669937895151233
249794,107195,0,52.37007447,4.919603854,0,0,4,0,110,2,30,4,2,0.75,18,92.0,9.0,9.0,10.0,10.0,9.0,9.0,1.0,1.0,2.0,2010-09-30,4620,27.5,0.5,0.25,0.25,2.0,0.5,6847.0,8216.0,7531.5,1.8965401172513643
259495,4851638,1,52.37972229,4.881589385,2,0,2,0,90,2,25,1,0,1.0,2,100.0,9.0,10.0,10.0,9.0,10.0,9.0,1.0,1.0,1.0,2010-10-12,4608,45.0,0.5,0.5,0.5,2.0,1.0,8216.0,10270.0,9243.0,1.0320578769423057
260785,55256,0,52.37083689,4.903341145,0,1,2,1,70,1,17,2,0,1.0,30,95.0,9.0,9.0,10.0,10.0,10.0,9.0,1.0,1.0,1.0,2010-10-13,4607,35.0,0.5,0.5,0.5,2.0,1.0,6847.0,8216.0,7531.5,0.7994900279768458
262846,55621,3,52.35385915,4.897720521,0,0,4,0,150,1,0,6,2,0.67,9,98.0,10.0,9.0,10.0,10.0,9.0,9.0,1.0,2.0,4.0,2010-10-15,4605,37.5,1.0,0.5,0.25,3.0,0.75,8216.0,10270.0,9243.0,2.1737869731406936
263233,55709,3,52.35700378,4.898811389,0,0,3,0,119,2,35,4,0,1.0,38,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,1.0,1.0,2010-10-16,4604,39.666666666666664,0.3333333333333333,0.3333333333333333,0.3333333333333333,2.0,0.6666666666666666,8216.0,10270.0,9243.0,1.8468463243842839
263844,55807,2,52.36965708,4.862025427,0,1,2,0,60,1,0,2,1,0.9,73,97.0,10.0,10.0,10.0,10.0,9.0,9.0,1.0,1.0,1.0,2010-10-17,4603,30.0,0.5,0.5,0.5,2.0,1.0,6847.0,8216.0,7531.5,2.090540801545792
