HostID,HostName,ID,Neighbourhood,Latitude,Longitude,PropertyType,RoomType,Accommodates,BedType,Price,GuestsIncluded,ExtraPeople,MinimumNights,ResponseTime,ResponseRate,NumberofReviews,ReviewRating,ReviewAccuracy,ReviewCleanliness,ReviewCheckin,ReviewCommunication,ReviewLocation,ReviewValue,Bathrooms,Bedrooms,Beds,HostSince,PropertyAge,PriceperPerson,BedsperPerson,BedroomsperPerson,BathroomsperPerson,NumberofRooms,RoomsperPerson,PolyMinPrice,PolyMaxPrice,PolyMeanPrice,DistancetoDam(km)
170371,Bob,1055452,De Baarsjes - Oud-West,52.36924782,4.871122633,Apartment,Entire home/apt,2,Real Bed,125,1,0,2,within an hour,0.97,30,93.0,9.0,9.0,9.0,10.0,9.0,9.0,1.0,1.0,1.0,2010-07-18,4694,62.5,0.5,0.5,0.5,2.0,1.0,8216.0,10270.0,9243.0,1.4981792206172058
170462,Liedewij,39688,Bos en Lommer,52.38018953,4.854581502,Apartment,Entire home/apt,4,Real Bed,130,2,20,2,within a few hours,0.9,10,100.0,10.0,10.0,10.0,10.0,9.0,9.0,1.5,2.0,2.0,2010-07-18,4694,32.5,0.5,0.5,0.375,3.5,0.875,6847.0,8216.0,7531.5,2.6805382006848015
178227,Tom & Anat,41075,Bos en Lommer,52.38353198,4.855511391,Apartment,Entire home/apt,4,Real Bed,67,2,15,2,within a few hours,1.0,31,93.0,10.0,8.0,9.0,9.0,8.0,9.0,1.0,2.0,2.0,2010-07-23,4689,16.75,0.5,0.5,0.25,3.0,0.75,6847.0,8216.0,7531.5,2.7549076837710973
178294,Minee,3749010,IJburg - Zeeburgereiland,52.36125772,4.978977679,House,Entire home/apt,4,Real Bed,275,4,45,3,within an hour,1.0,3,90.0,10.0,10.0,10.0,9.0,9.0,8.0,1.5,2.0,4.0,2010-07-23,4689,68.75,1.0,0.5,0.375,3.5,0.875,4793.0,5477.0,5135.0,6.055940569169221
178515,Fatih,61777,Centrum-West,52.38105624,4.885679794,Apartment,Entire home/apt,2,Real Bed,76,1,0,4,within a day,1.0,58,92.0,9.0,9.0,9.0,10.0,10.0,9.0,1.0,1.0,1.0,2010-07-23,4689,38.0,0.5,0.5,0.5,2.0,1.0,8216.0,10270.0,9243.0,0.9904339433940449
184354,Emiel,42161,Watergraafsmeer,52.35687489,4.946206583,Apartment,Entire home/apt,2,Real Bed,129,1,0,2,within a few hours,0.94,3,93.0,10.0,8.0,10.0,10.0,8.0,9.0,1.0,1.0,2.0,2010-07-29,4683,64.5,1.0,0.5,0.5,2.0,1.0,6162.0,6847.0,6504.5,4.0979691335088475
187417,Bo And Cynthia,42908,De Pijp - Rivierenbuurt,52.34733353,4.88943128,Apartment,Entire home/apt,2,Real Bed,125,2,0,2,within a day,0.94,8,100.0,10.0,9.0,10.0,10.0,8.0,10.0,1.0,1.0,2.0,2010-08-01,4680,62.5,1.0,0.5,0.5,2.0,1.0,6847.0,8216.0,7531.5,2.873340660278162
187580,Monique,568110,Centrum-West,52.36786098,4.887054786,Apartment,Entire home/apt,2,Real Bed,195,1,0,4,within an hour,1.0,13,94.0,9.0,10.0,9.0,10.0,10.0,9.0,1.0,1.0,1.0,2010-08-01,4680,97.5,0.5,0.5,0.5,2.0,1.0,8216.0,10270.0,9243.0,0.6801909417287094
187728,Tanya,634772,Centrum-West,52.38122515,4.883545849,House,Entire home/apt,4,Real Bed,170,2,25,2,within a few hours,0.95,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.5,1.0,1.0,2010-08-01,4680,42.5,0.25,0.25,0.375,2.5,0.625,8216.0,10270.0,9243.0,1.079240805379484
187728,Tanya,2517619,Centrum-Oost,52.36286316,4.89312871,Apartment,Entire home/apt,2,Pull-out Sofa,120,1,0,3,within a few hours,0.95,17,96.0,10.0,10.0,10.0,10.0,10.0,9.0,1.5,0.0,1.0,2010-08-01,4680,60.0,0.5,0.0,0.75,1.5,0.75,8216.0,10270.0,9243.0,1.1408526493359696
